Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID
ENSG00000180011	ENST00000322342	Q8N4Q0
ENSG00000073578	ENST00000509564	
ENSG00000088756	ENST00000383472	Q9P2N2
ENSG00000180011	ENST00000537114	Q8N4Q0
ENSG00000167196	ENST00000308275	Q8NEZ5
ENSG00000088756	ENST00000583410	
ENSG00000198690	ENST00000561594	Q9Y2M0
ENSG00000180011	ENST00000582437	
ENSG00000073578	ENST00000617470	
ENSG00000088756	ENST00000584387	
ENSG00000167196	ENST00000569749	
ENSG00000180011	ENST00000581620	
ENSG00000081138	ENST00000323011	Q9ULB5
ENSG00000167196	ENST00000453211	Q8NEZ5
ENSG00000088756	ENST00000532723	
ENSG00000282487	ENST00000633159	
ENSG00000063438	ENST00000514523	
ENSG00000088756	ENST00000262227	Q9P2N2
ENSG00000081138	ENST00000536984	
ENSG00000282592	ENST00000632968	
ENSG00000167196	ENST00000569022	Q8NEZ5
ENSG00000282274	ENST00000633010	
ENSG00000081138	ENST00000397968	Q9ULB5
ENSG00000167196	ENST00000565036	
ENSG00000063438	ENST00000510400	
ENSG00000088756	ENST00000581099	
ENSG00000167196	ENST00000569054	
ENSG00000063438	ENST00000652417	
ENSG00000282346	ENST00000631871	
ENSG00000063438	ENST00000515206	
ENSG00000167196	ENST00000561885	
ENSG00000282232	ENST00000633379	
ENSG00000088756	ENST00000419673	Q9P2N2
ENSG00000063438	ENST00000504625	
ENSG00000198690	ENST00000362065	Q9Y2M0
ENSG00000167196	ENST00000564220	
ENSG00000261972	ENST00000570713	
ENSG00000088756	ENST00000531294	
ENSG00000198690	ENST00000561607	Q9Y2M0
ENSG00000063438	ENST00000506456	
ENSG00000198690	ENST00000565466	Q9Y2M0
ENSG00000088756	ENST00000584287	
ENSG00000124813	ENST00000483377	
ENSG00000063438	ENST00000511487	
ENSG00000088756	ENST00000577524	
ENSG00000274563	ENST00000619788	
ENSG00000088756	ENST00000532996	Q9P2N2
ENSG00000198690	ENST00000565280	
ENSG00000088756	ENST00000579689	
ENSG00000198690	ENST00000562892	
ENSG00000171133	ENST00000302681	
ENSG00000282007	ENST00000633575	A0A0K0K1G8
ENSG00000286001	ENST00000651543	
ENSG00000171133	ENST00000374428	Q8NGT1
ENSG00000088756	ENST00000314319	Q9P2N2
ENSG00000186687	ENST00000379380	Q5U5X0
ENSG00000186687	ENST00000510516	
ENSG00000186687	ENST00000507584	
ENSG00000236399	ENST00000425845	
ENSG00000236399	ENST00000418267	
ENSG00000169567	ENST00000304043	P49773
ENSG00000169567	ENST00000511475	
ENSG00000169567	ENST00000508495	
ENSG00000236399	ENST00000614405	
ENSG00000169567	ENST00000513345	
ENSG00000169567	ENST00000504202	
ENSG00000169567	ENST00000508488	
ENSG00000169567	ENST00000506908	
ENSG00000169567	ENST00000513012	
ENSG00000169567	ENST00000520028	
ENSG00000137434	ENST00000460742	
ENSG00000137434	ENST00000426700	Q5T4I8
ENSG00000137434	ENST00000379586	Q5T4I8
ENSG00000137434	ENST00000503680	
ENSG00000249915	ENST00000264933	O75340
ENSG00000137434	ENST00000259983	Q5T4I8
ENSG00000065325	ENST00000574745	
ENSG00000124813	ENST00000465038	Q13950
ENSG00000249915	ENST00000505221	O75340
ENSG00000124813	ENST00000647337	Q13950
ENSG00000274958	ENST00000626153	Q13572
ENSG00000274958	ENST00000617836	Q13572
ENSG00000249915	ENST00000509581	
ENSG00000249915	ENST00000507528	O75340
ENSG00000274958	ENST00000614271	Q13572
ENSG00000124813	ENST00000371438	Q13950
ENSG00000065325	ENST00000262441	O95838
ENSG00000124813	ENST00000371436	Q13950
ENSG00000274958	ENST00000626917	
ENSG00000249915	ENST00000505526	
ENSG00000124813	ENST00000576263	
ENSG00000065325	ENST00000458005	
ENSG00000249915	ENST00000507473	
ENSG00000124813	ENST00000478660	
ENSG00000065325	ENST00000304773	
ENSG00000124813	ENST00000646519	
ENSG00000124813	ENST00000359524	Q13950
ENSG00000124813	ENST00000625924	
ENSG00000124813	ENST00000371432	Q13950
ENSG00000249915	ENST00000614778	
ENSG00000274958	ENST00000630443	
ENSG00000249915	ENST00000618970	
ENSG00000169752	ENST00000566417	Q8WWG1
ENSG00000274958	ENST00000630564	
ENSG00000249915	ENST00000628729	
ENSG00000274958	ENST00000629384	
ENSG00000274958	ENST00000625855	
ENSG00000211664	ENST00000390310	A0A075B6J9
ENSG00000270961	ENST00000604642	
ENSG00000211665	ENST00000390311	A0A075B6K0
ENSG00000273326	ENST00000574656	Q9NYW3
ENSG00000271317	ENST00000603326	
ENSG00000282520	ENST00000604950	
ENSG00000211666	ENST00000390312	P01704
ENSG00000169752	ENST00000461391	
ENSG00000272712	ENST00000572823	Q9NYW2
ENSG00000211667	ENST00000390313	A0A075B6K2
ENSG00000282599	ENST00000603077	
ENSG00000196284	ENST00000475057	O75486
ENSG00000196284	ENST00000371460	O75486
ENSG00000169752	ENST00000472094	
ENSG00000196284	ENST00000371459	O75486
ENSG00000273086	ENST00000573524	Q9NYW1
ENSG00000196284	ENST00000371458	
ENSG00000169752	ENST00000394907	Q8WWG1
ENSG00000196284	ENST00000637763	
ENSG00000169752	ENST00000568073	
ENSG00000277924	ENST00000620549	P43628
ENSG00000166979	ENST00000300255	P58658
ENSG00000263141	ENST00000573680	Q9Y5B6
ENSG00000169752	ENST00000565661	
ENSG00000169752	ENST00000562114	
ENSG00000263141	ENST00000574159	Q9Y5B6
ENSG00000169752	ENST00000567936	
ENSG00000226792	ENST00000563710	A0A1B0GVH6
ENSG00000169752	ENST00000563204	
ENSG00000261972	ENST00000573178	
ENSG00000271336	ENST00000605284	
ENSG00000169752	ENST00000563910	
ENSG00000121743	ENST00000241125	Q9Y6H8
ENSG00000169752	ENST00000498750	
ENSG00000261972	ENST00000576682	
ENSG00000169752	ENST00000567126	
ENSG00000261972	ENST00000572754	
ENSG00000166979	ENST00000435323	
ENSG00000261972	ENST00000576219	
ENSG00000166979	ENST00000437338	
ENSG00000166979	ENST00000457807	
ENSG00000261972	ENST00000573522	
ENSG00000166979	ENST00000401402	
ENSG00000261972	ENST00000576322	
ENSG00000166979	ENST00000382699	P58658
ENSG00000276701	ENST00000613839	P14174
ENSG00000261972	ENST00000574456	
ENSG00000166979	ENST00000412833	
ENSG00000234602	ENST00000513468	
ENSG00000281287	ENST00000626965	
ENSG00000234602	ENST00000513312	D6RGH6
ENSG00000273991	ENST00000620714	O75023
ENSG00000160284	ENST00000330205	Q9H0A9
ENSG00000276175	ENST00000620589	Q8N6C8
ENSG00000160284	ENST00000291672	Q9H0A9
ENSG00000273991	ENST00000616805	O75023
ENSG00000276175	ENST00000611439	
ENSG00000276175	ENST00000615584	
ENSG00000273991	ENST00000621867	O75023
ENSG00000228849	ENST00000420425	P01375
ENSG00000261150	ENST00000615648	P58107
ENSG00000261150	ENST00000568225	
ENSG00000276175	ENST00000619928	
ENSG00000100299	ENST00000608497	
ENSG00000273991	ENST00000614807	
ENSG00000262938	ENST00000576372	Q9NYP8
ENSG00000113361	ENST00000514738	
ENSG00000262938	ENST00000576061	Q9NYP8
ENSG00000262938	ENST00000573131	
ENSG00000262938	ENST00000571812	Q9NYP8
ENSG00000113361	ENST00000265071	P55285
ENSG00000273991	ENST00000614645	
ENSG00000100298	ENST00000348946	Q6NTF7
ENSG00000100298	ENST00000401756	Q6NTF7
ENSG00000100298	ENST00000442487	Q6NTF7
ENSG00000100298	ENST00000613996	
ENSG00000100298	ENST00000613677	Q6NTF7
ENSG00000100298	ENST00000421988	
ENSG00000164078	ENST00000296474	Q04912
ENSG00000164078	ENST00000411578	
ENSG00000103855	ENST00000567189	
ENSG00000113761	ENST00000506693	
ENSG00000164078	ENST00000344206	Q04912
ENSG00000164078	ENST00000434765	
ENSG00000164078	ENST00000440292	
ENSG00000125255	ENST00000245312	Q12908
ENSG00000182208	ENST00000329957	Q70IA6
ENSG00000165474	ENST00000382844	P29033
ENSG00000186106	ENST00000520552	Q86W74
ENSG00000277586	ENST00000610854	P07196
ENSG00000165474	ENST00000382848	P29033
ENSG00000182208	ENST00000614710	
ENSG00000186106	ENST00000335659	Q86W74
ENSG00000165474	ENST00000645189	P29033
ENSG00000164078	ENST00000621387	Q04912
ENSG00000186106	ENST00000519597	Q86W74
ENSG00000113407	ENST00000502553	P26639
ENSG00000164078	ENST00000612032	
ENSG00000136574	ENST00000528712	
ENSG00000113407	ENST00000514259	
ENSG00000164078	ENST00000613534	
ENSG00000136574	ENST00000532977	
ENSG00000186106	ENST00000520311	Q86W74
ENSG00000136574	ENST00000526974	
ENSG00000236925	ENST00000444479	Q06643
ENSG00000113407	ENST00000265112	P26639
ENSG00000136574	ENST00000526716	
ENSG00000186106	ENST00000519316	
ENSG00000186106	ENST00000358990	
ENSG00000186106	ENST00000524072	
ENSG00000282752	ENST00000632301	
ENSG00000282752	ENST00000632932	
ENSG00000186106	ENST00000523000	
ENSG00000282752	ENST00000632450	
ENSG00000186106	ENST00000521345	
ENSG00000282752	ENST00000632905	
ENSG00000113761	ENST00000358149	Q9UL40
ENSG00000277586	ENST00000639464	
ENSG00000113761	ENST00000512315	
ENSG00000113761	ENST00000503425	Q9UL40
ENSG00000277586	ENST00000619417	
ENSG00000113761	ENST00000508155	
ENSG00000113761	ENST00000511834	
ENSG00000136574	ENST00000335135	P43694
ENSG00000113761	ENST00000513587	
ENSG00000136574	ENST00000528027	
ENSG00000113761	ENST00000503039	Q9UL40
ENSG00000136574	ENST00000532059	P43694
ENSG00000136574	ENST00000622443	
ENSG00000103855	ENST00000318443	Q5ZPR3
ENSG00000164077	ENST00000642691	Q86VX9
ENSG00000164077	ENST00000645862	Q86VX9
ENSG00000103855	ENST00000537340	
ENSG00000152669	ENST00000501463	P22674
ENSG00000276634	ENST00000613654	P43632
ENSG00000152669	ENST00000282572	P22674
ENSG00000113407	ENST00000508361	
ENSG00000262304	ENST00000572919	
ENSG00000164077	ENST00000296473	Q86VX9
ENSG00000113407	ENST00000455217	P26639
ENSG00000160256	ENST00000291634	Q9NSI2
ENSG00000172171	ENST00000581216	Q96QE5
ENSG00000113407	ENST00000507716	
ENSG00000164077	ENST00000455683	Q86VX9
ENSG00000197417	ENST00000225519	Q9UHJ6
ENSG00000157500	ENST00000650354	Q9UKG1
ENSG00000113407	ENST00000509731	
ENSG00000164077	ENST00000417270	
ENSG00000160256	ENST00000397826	Q9NSI2
ENSG00000113407	ENST00000505012	
ENSG00000172171	ENST00000306049	Q96QE5
ENSG00000103855	ENST00000558689	
ENSG00000160256	ENST00000458015	
ENSG00000113407	ENST00000513066	
ENSG00000103855	ENST00000560786	
ENSG00000172171	ENST00000580840	
ENSG00000113407	ENST00000506040	
ENSG00000103855	ENST00000561213	Q5ZPR3
ENSG00000157500	ENST00000288266	Q9UKG1
ENSG00000103855	ENST00000563584	
ENSG00000103855	ENST00000560928	
ENSG00000113407	ENST00000626210	
ENSG00000113407	ENST00000627006	
ENSG00000103855	ENST00000561416	
ENSG00000103855	ENST00000560995	
ENSG00000103855	ENST00000567582	
ENSG00000103855	ENST00000561260	
ENSG00000100307	ENST00000216133	O95931
ENSG00000198062	ENST00000343518	Q6S545
ENSG00000211668	ENST00000390314	P01706
ENSG00000103855	ENST00000564751	Q5ZPR3
ENSG00000157500	ENST00000495803	
ENSG00000103855	ENST00000561176	
ENSG00000100307	ENST00000401405	
ENSG00000198062	ENST00000452800	
ENSG00000157500	ENST00000444459	
ENSG00000100307	ENST00000434260	
ENSG00000198062	ENST00000621704	
ENSG00000103855	ENST00000559073	
ENSG00000211669	ENST00000390315	A0A075B6K4
ENSG00000103855	ENST00000318424	Q5ZPR3
ENSG00000228883	ENST00000418117	Q5SRR4
ENSG00000174156	ENST00000370968	
ENSG00000274926	ENST00000611594	
ENSG00000169953	ENST00000344884	Q96LI6
ENSG00000228883	ENST00000449871	
ENSG00000239388	ENST00000487349	A6NK59
ENSG00000239388	ENST00000389601	A6NK59
ENSG00000169953	ENST00000382852	Q96LI6
ENSG00000174156	ENST00000211122	Q16772
ENSG00000174156	ENST00000431899	
ENSG00000169953	ENST00000304790	Q96LI6
ENSG00000227171	ENST00000425956	Q9H2S5
ENSG00000227171	ENST00000442378	Q9H2S5
ENSG00000167202	ENST00000465531	
ENSG00000179981	ENST00000322038	Q6ZSZ6
ENSG00000031823	ENST00000439268	Q9H6Z4
ENSG00000171136	ENST00000431365	Q8WXF3
ENSG00000179981	ENST00000580243	Q6ZSZ6
ENSG00000179981	ENST00000560918	
ENSG00000171136	ENST00000585987	
ENSG00000179981	ENST00000560661	
ENSG00000031823	ENST00000340578	Q9H6Z4
ENSG00000176102	ENST00000528865	
ENSG00000276203	ENST00000611388	Q5VUR7
ENSG00000100280	ENST00000405198	Q10567
ENSG00000276203	ENST00000614733	
ENSG00000133706	ENST00000394434	Q9P2J5
ENSG00000234058	ENST00000436591	O60927
ENSG00000073417	ENST00000310298	O60658
ENSG00000206026	ENST00000579022	Q3B7S5
ENSG00000100280	ENST00000317368	Q10567
ENSG00000073417	ENST00000557957	O60658
ENSG00000206026	ENST00000382638	
ENSG00000100280	ENST00000402502	Q10567
ENSG00000133706	ENST00000510191	Q9P2J5
ENSG00000206026	ENST00000584508	
ENSG00000100280	ENST00000421126	
ENSG00000073417	ENST00000339708	O60658
ENSG00000100280	ENST00000415756	
ENSG00000234058	ENST00000448210	
ENSG00000234058	ENST00000422273	
ENSG00000160145	ENST00000448253	
ENSG00000234058	ENST00000430828	
ENSG00000234058	ENST00000412077	
ENSG00000100280	ENST00000432560	Q10567
ENSG00000100280	ENST00000357586	Q10567
ENSG00000234058	ENST00000444994	
ENSG00000261984	ENST00000575008	Q9NYV8
ENSG00000100280	ENST00000415447	Q10567
ENSG00000229381	ENST00000456988	Q9UDY6
ENSG00000176102	ENST00000323959	Q12996
ENSG00000176102	ENST00000524827	
ENSG00000263028	ENST00000573562	P59542
ENSG00000171189	ENST00000327783	
ENSG00000275744	ENST00000618502	Q9BYW1
ENSG00000171189	ENST00000389125	P39086
ENSG00000272805	ENST00000576159	Q9NYW0
ENSG00000171189	ENST00000399913	
ENSG00000229381	ENST00000416714	Q9UDY6
ENSG00000171189	ENST00000399914	
ENSG00000262525	ENST00000574263	P59540
ENSG00000176102	ENST00000438862	Q12996
ENSG00000171189	ENST00000389124	
ENSG00000273431	ENST00000575654	P59544
ENSG00000176102	ENST00000431742	Q12996
ENSG00000167202	ENST00000300584	Q9UPU7
ENSG00000171189	ENST00000399907	P39086
ENSG00000176102	ENST00000524556	
ENSG00000171189	ENST00000399909	
ENSG00000067248	ENST00000251636	Q7Z478
ENSG00000167202	ENST00000409931	Q9UPU7
ENSG00000176102	ENST00000524775	
ENSG00000100299	ENST00000356098	
ENSG00000198258	ENST00000586895	Q9BZL1
ENSG00000167202	ENST00000435468	
ENSG00000198258	ENST00000358666	Q9BZL1
ENSG00000100299	ENST00000216124	
ENSG00000067248	ENST00000508346	
ENSG00000198258	ENST00000590068	Q9BZL1
ENSG00000133706	ENST00000618084	
ENSG00000133027	ENST00000395782	Q9UBM1
ENSG00000198258	ENST00000593087	
ENSG00000105650	ENST00000594617	Q08493
ENSG00000067248	ENST00000621106	
ENSG00000100299	ENST00000395621	
ENSG00000133027	ENST00000395783	Q9UBM1
ENSG00000133706	ENST00000274562	Q9P2J5
ENSG00000263247	ENST00000576999	Q16378
ENSG00000100299	ENST00000453344	P15289
ENSG00000156273	ENST00000548219	
ENSG00000100299	ENST00000395619	
ENSG00000156273	ENST00000550131	
ENSG00000133816	ENST00000532179	
ENSG00000156273	ENST00000547141	
ENSG00000105650	ENST00000447275	Q08493
ENSG00000133816	ENST00000526065	
ENSG00000031823	ENST00000592771	
ENSG00000263247	ENST00000574424	Q16378
ENSG00000156273	ENST00000546469	
ENSG00000173261	ENST00000311450	A1L4L8
ENSG00000275744	ENST00000619254	Q9BYW1
ENSG00000173261	ENST00000512998	
ENSG00000031823	ENST00000591092	
ENSG00000114854	ENST00000232975	P63316
ENSG00000275744	ENST00000628119	
ENSG00000150510	ENST00000615498	Q86V42
ENSG00000114854	ENST00000496590	
ENSG00000031823	ENST00000034275	Q9H6Z4
ENSG00000031823	ENST00000587479	
ENSG00000133027	ENST00000435340	
ENSG00000176148	ENST00000530419	
ENSG00000150510	ENST00000322475	Q86V42
ENSG00000274914	ENST00000618711	A6NI73
ENSG00000133027	ENST00000255389	Q9UBM1
ENSG00000150510	ENST00000280057	Q86V42
ENSG00000263247	ENST00000574037	
ENSG00000274914	ENST00000614299	A6NI73
ENSG00000274914	ENST00000612266	A6NI73
ENSG00000274914	ENST00000613559	A6NI73
ENSG00000133027	ENST00000395781	Q9UBM1
ENSG00000133027	ENST00000580147	
ENSG00000105650	ENST00000262805	Q08493
ENSG00000133816	ENST00000256194	O94851
ENSG00000105650	ENST00000594465	Q08493
ENSG00000156273	ENST00000286800	O14867
ENSG00000173597	ENST00000310613	O43704
ENSG00000157087	ENST00000397077	Q01814
ENSG00000105650	ENST00000599188	
ENSG00000156273	ENST00000399921	O14867
ENSG00000133027	ENST00000461404	
ENSG00000173597	ENST00000510821	
ENSG00000211837	ENST00000390485	
ENSG00000156273	ENST00000548467	
ENSG00000263247	ENST00000613368	
ENSG00000157087	ENST00000383800	Q01814
ENSG00000173597	ENST00000512870	
ENSG00000105650	ENST00000598111	
ENSG00000176148	ENST00000334274	Q9NUJ3
ENSG00000211838	ENST00000390486	
ENSG00000156273	ENST00000451655	
ENSG00000273457	ENST00000574870	Q9NYV9
ENSG00000275545	ENST00000614720	
ENSG00000156273	ENST00000447177	
ENSG00000105650	ENST00000595343	
ENSG00000156273	ENST00000435072	
ENSG00000176148	ENST00000527661	
ENSG00000157087	ENST00000460129	Q01814
ENSG00000105650	ENST00000593594	
ENSG00000275545	ENST00000622691	
ENSG00000156273	ENST00000422809	
ENSG00000105650	ENST00000610023	
ENSG00000156273	ENST00000468059	
ENSG00000176148	ENST00000528107	
ENSG00000105650	ENST00000599754	
ENSG00000157087	ENST00000352432	
ENSG00000176148	ENST00000602733	
ENSG00000157087	ENST00000467702	
ENSG00000133816	ENST00000530823	
ENSG00000176148	ENST00000528898	
ENSG00000157087	ENST00000644553	
ENSG00000133816	ENST00000532420	
ENSG00000176148	ENST00000531632	Q9NUJ3
ENSG00000133816	ENST00000527546	O94851
ENSG00000157087	ENST00000643662	Q01814
ENSG00000105650	ENST00000539010	
ENSG00000176148	ENST00000528962	
ENSG00000133816	ENST00000524685	
ENSG00000176148	ENST00000432887	Q9NUJ3
ENSG00000133816	ENST00000525119	
ENSG00000133816	ENST00000533389	
ENSG00000284797	ENST00000643046	
ENSG00000160145	ENST00000460856	
ENSG00000285816	ENST00000649896	
ENSG00000272803	ENST00000575657	P02810
ENSG00000031823	ENST00000592621	
ENSG00000160145	ENST00000240874	O60229
ENSG00000073417	ENST00000478717	O60658
ENSG00000227565	ENST00000453377	Q9UBC1
ENSG00000272803	ENST00000572141	P02810
ENSG00000285188	ENST00000355502	
ENSG00000160145	ENST00000483658	
ENSG00000073417	ENST00000485596	
ENSG00000031823	ENST00000590623	
ENSG00000263097	ENST00000572376	P59538
ENSG00000131015	ENST00000367351	Q9BZM5
ENSG00000031823	ENST00000591736	
ENSG00000073417	ENST00000559742	
ENSG00000244754	ENST00000504114	
ENSG00000262612	ENST00000571879	P59537
