gene	chrom	position
AKR1B1	7	1365400886
AKR1B10	7	1365486070
AKR1B15	7	1365522778
AKR1C1	10	1678242530
AKR1C2	10	1678269081
AKR1C3	10	1678373530
AKR1C4	10	1678475953
AKR1D1	7	1369034677
AKR1E2	10	1678105410
AKR7A2	1	19304225
AKR7A3	1	19282731
AKR7L	1	19267300
AKT1	14	2293624464
AKT1S1	19	2699594726
AKT2	19	2689958681
AKT3	1	243499743
AKTIP	16	2449799388
ALAD	9	1648545386
ALAS1	3	542990879
ALAS2	23	2925025646
ALB	4	762234632
ALCAM	3	596159046
ALDH16A1	19	2699178141
ALDH18A1	10	1768885847
ALDH1A1	9	1608058294
ALDH1A2	15	2352339114
ALDH1A3	15	2395263825
ALDH1B1	9	1573552835
ALDH1L1	3	616895428
ALDH1L2	12	2046317910
ALDH2	12	2053060469
ALDH3A1	17	2506121107
ALDH3A2	17	2506031858
ALDH3B1	11	1874921125
ALDH3B2	11	1874569042
ALDH4A1	1	18872845
ALDH5A1	6	1084868574
ALDH6A1	14	2262914765
ALDH7A1	5	1005550317
ALDH8A1	6	1195291992
ALDH9A1	1	165663050
ALDOA	16	2426373874
ALDOB	9	1636578895
ALDOC	17	2514956412
ALG1	16	2401378826
ALG10	12	1975316086
ALG10B	12	1979610380
ALG11	13	2126540261
ALG12	22	2869138010
ALG13	23	2981697685
ALG14	1	94983076
ALG1L	3	616720989
ALG2	9	1634375020
ALG3	3	675034151
ALG5	13	2111477784
ALG6	1	63370978
ALG8	11	1885006791
ALG9	11	1918692224
ALK	2	278111587
ALKAL1	8	1442641372
ALKAL2	2	249198510
ALKBH1	14	2266527935
ALKBH2	12	2050381692
ALKBH3	11	1850788480
ALKBH4	7	1333415552
ALKBH5	17	2504567130
ALKBH6	19	2685734099
ALKBH7	19	2656097630
ALKBH8	11	1914410485
ALLC	2	252589521
ALMS1	2	322304232
ALOX12	17	2493379004
ALOX12B	17	2494455657
ALOX15	17	2491014486
ALOX15B	17	2494422042
ALOX5	10	1718653365
ALOX5AP	13	2105241568
ALOXE3	17	2494479513
ALPG	2	481325258
ALPI	2	481374563
ALPK1	4	801208082
ALPK2	18	2627959284
ALPK3	15	2379200764
ALPL	1	21554082
ALPP	2	481297166
ALS2	2	450620214
ALS2CL	3	537462621
ALS2CR12	2	450207018
ALX1	12	2026573748
ALX3	1	110060733
ALX4	11	1851170681
ALYREF	17	2568271017
AMACR	5	912993660
AMBN	4	759422663
AMBP	9	1649217325
AMBRA1	11	1853303277
AMD1	6	1171248683
AMDHD1	12	2037236885
AMDHD2	16	2398827435
AMELX	23	2881311255
AMELY	24	3032892948
AMER1	23	2934206345
AMER2	13	2099697446
AMER3	2	379680436
AMFR	16	2452669885
AMH	19	2651974142
AMHR2	12	1994717421
AMIGO1	1	109507431
AMIGO2	12	1988370920
AMIGO3	3	540509588
AMMECR1	23	2980214986
AMMECR1L	2	376783457
AMN	14	2291776812
AMN1	12	1972965790
AMOT	23	2982795033
AMOTL1	11	1901674339
AMOTL2	3	625149342
AMPD1	1	114673114
AMPD2	1	109620269
AMPD3	11	1817356849
AMPH	7	1269342976
AMT	3	540208981
AMTN	4	759349082
AMY1A	1	103656331
AMY1B	1	103687449
AMY1C	1	103750470
AMY2A	1	103617441
AMY2B	1	103571603
AMZ1	7	1233658610
AMZ2	17	2554633074
ANAPC1	2	360687654
ANAPC10	4	833825677
ANAPC11	17	2568277364
ANAPC13	3	625270227
ANAPC15	11	1879013178
ANAPC16	10	1745503000
ANAPC2	9	1672332028
ANAPC4	4	714207732
ANAPC5	12	2062601966
ANAPC7	12	2051667630
ANG	14	2209547688
ANGEL1	14	2265643351
ANGEL2	1	212995041
ANGPT1	8	1497354784
ANGPT2	8	1396606030
ANGPT4	20	2709169158
ANGPTL1	1	178851129
ANGPTL2	9	1662246025
ANGPTL3	1	62597567
ANGPTL4	19	2658089131
ANGPTL5	11	1908797106
ANGPTL6	19	2659817398
ANGPTL7	1	11189580
ANGPTL8	19	2660964447
ANHX	12	2074512371
ANK1	8	1431758656
ANK2	4	801734798
ANK3	10	1733321776
ANKAR	2	438594854
ANKDD1A	15	2359295848
ANKDD1B	5	954616987
ANKEF1	20	2718334500
ANKFN1	17	2542536396
ANKFY1	17	2490550665
ANKH	5	893716549
ANKHD1	5	1019407320
ANKHD1-EIF4EBP3	5	1019407320
ANKIB1	7	1323253137
ANKK1	11	1920293712
ANKLE2	12	2074020728
ANKMY1	2	489397972
ANKMY2	7	1247558919
ANKRA2	5	952558149
ANKRD1	10	1764191951
ANKRD10	13	2185407479
ANKRD11	16	2485575454
ANKRD12	18	2578659894
ANKRD13A	12	2051293175
ANKRD13B	17	2515976508
ANKRD13C	1	70262717
ANKRD13D	11	1874195288
ANKRD16	10	1679157215
ANKRD17	4	761906535
ANKRD18A	9	1573729131
ANKRD2	10	1770851793
ANKRD20A1	9	1603016513
ANKRD20A2	9	1575380483
ANKRD20A3	9	1601267860
ANKRD20A4	9	1599526761
ANKRD22	10	1762102026
ANKRD23	2	345757912
ANKRD24	19	2653911235
ANKRD26	10	1700284675
ANKRD27	19	2682322954
ANKRD28	3	506461907
ANKRD29	18	2593078687
ANKRD30A	10	1710405041
ANKRD30B	18	2584225881
ANKRD30BL	2	381066494
ANKRD31	5	954073871
ANKRD33	12	1993181673
ANKRD33B	5	889569820
ANKRD34A	1	145960269
ANKRD34B	5	959563827
ANKRD34C	15	2373677202
ANKRD35	1	145867330
ANKRD36B	2	346425405
ANKRD37	4	874227228
ANKRD39	2	345766664
ANKRD40	17	2537078883
ANKRD40CL	17	2537144249
ANKRD42	11	1890100498
ANKRD44	2	445907954
ANKRD45	1	173610145
ANKRD46	8	1490613506
ANKRD49	11	1901402521
ANKRD50	4	813499291
ANKRD52	12	1997536628
ANKRD53	2	319897009
ANKRD54	22	2857066115
ANKRD55	5	935105535
ANKRD6	6	1149940554
ANKRD60	20	2766514693
ANKRD61	7	1236989534
ANKRD62	18	2581571479
ANKRD63	15	2334665361
ANKRD65	1	1419100
ANKRD66	6	1107120499
ANKRD7	7	1349182989
ANKRD9	14	2291361059
ANKS1A	6	1095262980
ANKS1B	12	2040029046
ANKS3	16	2401004004
ANKS4B	16	2417540714
ANKS6	9	1633893605
ANKUB1	3	640558790
ANKZF1	2	468148621
ANLN	7	1267348185
ANO1	11	1876984434
ANO10	3	534158543
ANO2	12	1946856785
ANO3	11	1833238103
ANO4	12	2042195272
ANO5	11	1829099320
ANO6	12	1986509808
ANO7	2	490106975
ANO8	19	2667048326
ANO9	11	1807324198
ANOS1	23	2878549461
ANP32A	15	2363163998
ANP32B	9	1633140642
ANP32D	12	1989766151
ANP32E	1	150220691
ANPEP	15	2384169266
ANTXR1	2	317931863
ANTXR2	4	768737733
ANTXRL	10	1719566348
ANXA1	9	1608315622
ANXA10	4	856923005
ANXA11	10	1753434938
ANXA13	8	1513784169
ANXA2	15	2354731547
ANXA2R	5	922044817
ANXA3	4	767384778
ANXA4	2	318699929
ANXA5	4	810498772
ANXA6	5	1030106800
ANXA7	10	1746655180
ANXA8	10	1720747932
ANXA8L1	10	1719654937
ANXA9	1	150983106
AOAH	7	1267471190
AOC1	7	1381814629
AOC2	17	2529227513
AOC3	17	2529234230
AOX1	2	449504472
AP1AR	4	801062396
AP1B1	22	2848562993
AP1G1	16	2468040034
AP1G2	14	2212413872
AP1M1	19	2665922836
AP1M2	19	2660297875
AP1S1	7	1332112673
AP1S2	23	2885843791
AP1S3	2	472677078
AP2A1	19	2699491943
AP2A2	11	1807831849
AP2B1	17	2521976917
AP2M1	3	674968631
AP2S1	19	2696563256
AP3B1	5	957008254
AP3B2	15	2377043477
AP3D1	19	2651826982
AP3M1	10	1747402895
AP3M2	8	1432257617
AP3S1	5	994847390
AP3S2	15	2384219432
AP4B1	1	113895065
AP4E1	15	2345292696
AP4M1	7	1331059873
AP4S1	14	2219920320
AP5B1	11	1872683683
AP5M1	14	2246123438
AP5S1	20	2712118316
AP5Z1	7	1235733874
APAF1	12	2039941846
APBA1	9	1604588413
APBA2	15	2323437802
APBA3	19	2653475835
APBB1	11	1813301361
APBB1IP	10	1699771412
APBB2	4	729646396
APBB3	5	1019563937
APC	5	991760243
APC2	19	2651177811
APCDD1	18	2579932443
APCDD1L	20	2766756988
APCS	1	159587922
APEH	3	540466039
APELA	4	853707636
APEX1	14	2209309769
APEX2	23	2925016889
APH1A	1	150266130
APH1B	15	2357661541
API5	11	1850217955
APIP	11	1841788544
APLF	2	317386095
APLN	23	2999665092
APLNR	11	1864141689
APLP1	19	2685593446
APLP2	11	1936975805
APMAP	20	2733260011
APOA1	11	1923741635
APOA2	1	161222405
APOA4	11	1923726694
APOA5	11	1923695955
APOB	2	269920093
APOBEC1	12	1948943033
APOBEC2	6	1101426925
APOBEC3A	22	2858191864
APOBEC3B	22	2858216626
APOBEC3C	22	2858248535
APOBEC3D	22	2858255692
APOBEC3F	22	2858275133
APOBEC3G	22	2858311534
APOBEC3H	22	2858334451
APOBEC4	1	183647678
APOBR	16	2424801658
APOC1	19	2694639701
APOC2	19	2694673288
APOC3	11	1923736410
APOC4	19	2694667087
APOD	3	686360537
APOE	19	2694631434
APOF	12	1997654711
APOH	17	2552595019
APOL1	22	2855488135
APOL2	22	2855461576
APOL3	22	2855375372
APOL4	22	2855425247
APOL5	22	2854952044
APOL6	22	2854890598
APOLD1	12	1954019487
APOM	6	1092029544
APOO	23	2893856808
APOOL	23	2955020379
APOPT1	14	2292417086
APP	21	2798451468
APPBP2	17	2546830467
APPL1	3	548019521
APPL2	12	2046467800
APRT	16	2485116674
APTX	9	1568130584
AQP1	7	1261870068
AQP10	1	154321156
AQP11	11	1884495820
AQP12B	2	489594908
AQP2	12	1991244317
AQP3	9	1568599076
AQP4	18	2596333672
AQP5	12	1991255504
AQP6	12	1991266660
AQP7	9	1568542091
AQP8	16	2421524022
AQP9	15	2352522483
AQR	15	2329240709
AR	23	2937561613
ARAF	23	2917579434
ARAP1	11	1879591491
ARAP2	4	724898211
ARAP3	5	1020659302
ARC	8	1532716010
ARCN1	11	1925478375
AREG	4	763275650
AREL1	14	2263517843
ARF1	1	228097115
ARF3	12	1990232433
ARF4	3	548363849
ARF5	7	1358546657
ARF6	14	2238747860
ARFGAP1	20	2771571779
ARFGAP2	11	1854071309
ARFGAP3	22	2862031760
ARFGEF1	8	1457301863
ARFGEF2	20	2757218088
ARFGEF3	6	1198535664
ARFIP1	4	841659938
ARFIP2	11	1813382940
ARFRP1	20	2771996641
ARG1	6	1191946860
ARG2	14	2256474101
ARGFX	3	612362351
ARGLU1	13	2181071838
ARHGAP1	11	1853584864
ARHGAP10	4	836562606
ARHGAP11A	15	2327000129
ARHGAP11B	15	2325010738
ARHGAP12	10	1705086743
ARHGAP15	2	392073854
ARHGAP17	16	2421227106
ARHGAP18	6	1189952090
ARHGAP19	10	1770505207
ARHGAP20	11	1917485197
ARHGAP21	10	1697863497
ARHGAP22	10	1721725476
ARHGAP23	17	2524811372
ARHGAP24	4	774400846
ARHGAP25	2	317653563
ARHGAP26	5	1021776114
ARHGAP27	17	2531778342
ARHGAP28	18	2576314810
ARHGAP29	1	94173869
ARHGAP30	1	161047715
ARHGAP31	3	610086542
ARHGAP32	11	1935874734
ARHGAP33	19	2685500468
ARHGAP35	19	2696643485
ARHGAP36	23	3001074853
ARHGAP39	8	1534633351
ARHGAP4	23	3023924195
ARHGAP44	17	2499172725
ARHGAP45	19	2650790835
ARHGAP5	14	2220944793
ARHGAP6	23	2881155329
ARHGAP8	22	2864020700
ARHGAP9	12	1998766003
ARHGDIA	17	2568251265
ARHGDIB	12	1956236008
ARHGDIG	16	2396587657
ARHGEF1	19	2691609277
ARHGEF10	8	1391929040
ARHGEF10L	1	17580596
ARHGEF11	1	156936000
ARHGEF12	11	1927243071
ARHGEF15	17	2494694926
ARHGEF16	1	3463085
ARHGEF17	11	1880214466
ARHGEF18	19	2657164750
ARHGEF19	1	16198587
ARHGEF2	1	155947942
ARHGEF25	12	1998903703
ARHGEF26	3	644913630
ARHGEF28	5	952690204
ARHGEF3	3	547520907
ARHGEF33	2	287837811
ARHGEF35	7	1375145087
ARHGEF37	5	1028603122
ARHGEF38	4	794383070
ARHGEF39	9	1570819073
ARHGEF4	2	379849321
ARHGEF40	14	2209924520
ARHGEF5	7	1375320828
ARHGEF6	23	3006684495
ARHGEF7	13	2185643369
ARHGEF9	23	2933654494
ARID1A	1	26696404
ARID1B	6	1217151507
ARID2	12	1987023323
ARID3A	19	2650654338
ARID3B	15	2368927854
ARID3C	9	1569778544
ARID4A	14	2247153978
ARID4B	1	235168525
ARID5A	2	345455190
ARID5B	10	1735180795
ARIH1	15	2366858557
ARIH2	3	539719196
ARIH2OS	3	539709914
ARL1	12	2042689126
ARL10	5	1055370916
ARL11	13	2124158290
ARL13A	23	2970990156
ARL13B	3	584772061
ARL14	3	651468984
ARL14EP	11	1837236776
ARL14EPL	5	995056818
ARL15	5	932891913
ARL16	17	2568064594
ARL17A	17	2532900001
ARL17B	17	2532682433
ARL2	11	1871920035
ARL2BP	16	2453552344
ARL3	10	1775955979
ARL4A	7	1243646413
ARL4C	2	483414169
ARL4D	17	2529782619
ARL5A	2	400721639
ARL5B	10	1691938723
ARL5C	17	2525539780
ARL6	3	588559745
ARL6IP1	16	2415100228
ARL6IP4	12	2064273691
ARL6IP5	3	559876685
ARL6IP6	2	401636988
ARL8A	1	202134467
ARL8B	3	495914103
ARL9	4	745336167
ARMC1	8	1455707323
ARMC10	7	1334033431
ARMC12	6	1096110686
ARMC2	6	1169227845
ARMC3	10	1696211082
ARMC4	10	1701091597
ARMC5	16	2427765373
ARMC6	19	2668759019
ARMC7	17	2561493175
ARMC8	3	628979192
ARMC9	2	480124602
ARMCX1	23	2971569397
ARMCX2	23	2971672156
ARMCX3	23	2971641446
ARMCX4	23	2971505056
ARMCX5	23	2972618608
ARMCX6	23	2971632184
ARMH1	1	44689698
ARMH2	6	1085170987
ARMH3	10	1775126613
ARMH4	14	2246858859
ARMS2	10	1795733813
ARMT1	6	1211826123
ARNT	1	150812021
ARNT2	15	2374788433
ARNTL	11	1820260136
ARNTL2	12	1968626559
ARPC1A	7	1330291512
ARPC1B	7	1330343873
ARPC2	2	467135834
ARPC3	12	2051728641
ARPC4	3	500584759
ARPC4-TTLL3	3	500584759
ARPC5	1	183627532
ARPC5L	9	1660026377
ARPIN	15	2384285712
ARPP19	15	2346935851
ARPP21	3	526473389
ARR3	23	2940285852
ARRB1	11	1882171990
ARRB2	17	2491093608
ARRDC1	9	1672762804
ARRDC2	19	2667726124
ARRDC3	5	970376752
ARRDC4	15	2392344779
ARSA	22	2869859317
ARSB	5	957785749
ARSD	23	2872923737
ARSE	23	2872951298
ARSF	23	2873084567
ARSG	17	2554690380
ARSH	23	2873023079
ARSI	5	1029302566
ARSJ	4	802732578
ARSK	5	974560631
ART1	11	1810565041
ART3	4	764906194
