Gene	ENST_ID
ACBD5	ENST00000375888
ACBD4	ENST00000376955
ACER1	ENST00000301452
ACKR3	ENST00000272928
ACKR1	ENST00000368122
ACER3	ENST00000532485
ACO1	ENST00000309951
ACOT4	ENST00000326303
ACOD1	ENST00000377462
ACOT2	ENST00000238651
ACOT9	ENST00000336430
ACLY	ENST00000352035
ACOT1	ENST00000311148
ACOT13	ENST00000230048
ACO2	ENST00000216254
ACOX1	ENST00000301608
ACRBP	ENST00000229243
ACOT8	ENST00000217455
ACOT12	ENST00000307624
ACP2	ENST00000256997
ACOT11	ENST00000371316
ACP5	ENST00000218758
ACSBG1	ENST00000258873
ACP4	ENST00000270593
ACOT7	ENST00000377855
ACOT6	ENST00000381139
ACP1	ENST00000272065
ACOX2	ENST00000302819
ACR	ENST00000216139
ACMSD	ENST00000356140
ACPP	ENST00000336375
ACOX3	ENST00000356406
ACOXL	ENST00000389811
ACP7	ENST00000331256
ACRV1	ENST00000533904
ACP6	ENST00000583509
ACSM2A	ENST00000219054
ACSL6	ENST00000379240
ACSL4	ENST00000340800
ACSM3	ENST00000289416
ACSL3	ENST00000357430
ACSF3	ENST00000317447
ACSL5	ENST00000354273
ACSM4	ENST00000399422
ACSS2	ENST00000360596
ACSM1	ENST00000307493
ACTB	ENST00000331789
ACTA2	ENST00000224784
ACTC1	ENST00000290378
ACTL10	ENST00000330271
ACSF2	ENST00000300441
ACSL1	ENST00000281455
ACTL6B	ENST00000160382
ACTL7A	ENST00000333999
ACSM5	ENST00000331849
ACTG1	ENST00000331925
ACTG2	ENST00000345517
ACSM2B	ENST00000329697
ACSS1	ENST00000323482
ACTA1	ENST00000366684
ACSM6	ENST00000341686
ACTL6A	ENST00000429709
ACTL7B	ENST00000374667
ACTBL2	ENST00000423391
ACSS3	ENST00000548058
ACSBG2	ENST00000586696
ACTN4	ENST00000252699
ACTR10	ENST00000254286
ACTR6	ENST00000188312
ACTL8	ENST00000375406
ACTR1B	ENST00000289228
ACTR2	ENST00000260641
ACTL9	ENST00000324436
ACTRT3	ENST00000330368
ACTN2	ENST00000366578
ACVR2A	ENST00000241416
ACTR1A	ENST00000369905
ACVR1	ENST00000263640
ACVR1C	ENST00000243349
ACTN1	ENST00000193403
ACTR3C	ENST00000252071
ACTR3	ENST00000263238
ACVR1B	ENST00000257963
ACTR5	ENST00000243903
ACY1	ENST00000404366
ACTR8	ENST00000335754
ACY3	ENST00000255082
ACYP1	ENST00000238618
ACTR3B	ENST00000256001
ACVR2B	ENST00000352511
ACTRT2	ENST00000378404
ADA	ENST00000372874
ACVRL1	ENST00000388922
ACTRT1	ENST00000371124
ACYP2	ENST00000394666
ACTN3	ENST00000513398
ADAM11	ENST00000200557
ADAD1	ENST00000296513
ADAM10	ENST00000260408
ADAM15	ENST00000356955
ADAM12	ENST00000368679
ADAM22	ENST00000265727
ADAM33	ENST00000356518
ADAM29	ENST00000359240
ADAM18	ENST00000265707
ADAM32	ENST00000379907
ADAM2	ENST00000265708
ADAD2	ENST00000315906
ADAM28	ENST00000265769
ADAM30	ENST00000369400
ADAMTS1	ENST00000284984
ADAM7	ENST00000175238
ADA2	ENST00000399839
ADAM23	ENST00000264377
ADAM17	ENST00000310823
ADAMDEC1	ENST00000256412
ADAMTS14	ENST00000373207
ADAMTS13	ENST00000371929
ADAMTS15	ENST00000299164
ADAM21	ENST00000603540
ADAM9	ENST00000487273
ADAM8	ENST00000445355
ADAL	ENST00000562188
ADAM19	ENST00000517905
ADAMTS10	ENST00000597188
ADAMTS12	ENST00000504830
ADAMTS16	ENST00000274181
ADAMTS2	ENST00000251582
ADAMTS18	ENST00000282849
ADAMTS19	ENST00000274487
ADAMTS17	ENST00000268070
ADAMTS20	ENST00000389420
ADAMTS4	ENST00000367996
ADAMTS3	ENST00000286657
ADAMTS6	ENST00000381055
ADAMTS5	ENST00000284987
ADAMTS7	ENST00000388820
ADAMTS8	ENST00000257359
ADAT2	ENST00000237283
ADAMTSL4	ENST00000271643
ADAMTSL5	ENST00000330475
ADAMTSL3	ENST00000286744
ADAP1	ENST00000265846
ADAMTS9	ENST00000498707
ADCK1	ENST00000238561
ADAR	ENST00000368474
ADAMTSL1	ENST00000380548
ADCK2	ENST00000072869
ADARB1	ENST00000360697
ADAMTSL2	ENST00000354484
ADCK5	ENST00000308860
ADAT1	ENST00000307921
ADCY1	ENST00000297323
ADAP2	ENST00000330889
ADARB2	ENST00000381312
ADAT3	ENST00000602400
ADGRD1	ENST00000261654
ADCY4	ENST00000310677
ADGRA3	ENST00000334304
ADCY9	ENST00000294016
ADCY7	ENST00000254235
ADCY3	ENST00000260600
ADCY8	ENST00000286355
ADCYAP1R1	ENST00000304166
ADCY6	ENST00000307885
ADD2	ENST00000264436
ADGRE3	ENST00000253673
ADGRE5	ENST00000242786
ADGRF5	ENST00000265417
ADGRB1	ENST00000323289
ADGRF4	ENST00000283303
ADCYAP1	ENST00000450565
ADD1	ENST00000398129
ADD3	ENST00000356080
ADCY10	ENST00000367851
ADGRE1	ENST00000312053
ADCY2	ENST00000338316
ADGRF3	ENST00000311519
ADGRE2	ENST00000315576
ADGRB2	ENST00000373658
ADGRB3	ENST00000370598
ADGRF1	ENST00000371253
ADGRA1	ENST00000392607
ADGRA2	ENST00000412232
ADCY5	ENST00000462833
ADGRG1	ENST00000567835
ADGRG3	ENST00000333493
ADGRG4	ENST00000370652
ADGRG7	ENST00000273352
ADH1A	ENST00000209668
ADGRG6	ENST00000230173
ADGRL4	ENST00000370742
ADH1B	ENST00000305046
ADH7	ENST00000209665
ADGRL1	ENST00000340736
ADH5	ENST00000296412
ADH6	ENST00000237653
ADH4	ENST00000265512
ADK	ENST00000286621
ADGRG2	ENST00000379869
ADM	ENST00000278175
ADGRG5	ENST00000340339
ADI1	ENST00000327435
ADM5	ENST00000420022
ADIPOR2	ENST00000357103
ADNP	ENST00000349014
ADIPOQ	ENST00000320741
ADH1C	ENST00000515683
ADHFE1	ENST00000396623
ADM2	ENST00000395737
ADIPOR1	ENST00000340990
ADIRF	ENST00000372013
ADGRL2	ENST00000370717
ADGRV1	ENST00000405460
ADIG	ENST00000470147
ADGRL3	ENST00000514591
ADO	ENST00000373783
ADNP2	ENST00000262198
ADORA1	ENST00000309502
ADORA2B	ENST00000304222
ADORA2A	ENST00000337539
ADORA3	ENST00000241356
ADPGK	ENST00000311669
ADPRH	ENST00000357003
ADPRHL2	ENST00000373178
ADPRHL1	ENST00000375418
ADRA1A	ENST00000276393
ADPRM	ENST00000379774
ADRA2A	ENST00000280155
ADRA1D	ENST00000379453
ADRA1B	ENST00000306675
AFAP1	ENST00000358461
ADSL	ENST00000216194
AES	ENST00000327141
ADRM1	ENST00000253003
ADRB3	ENST00000345060
ADRA2C	ENST00000330055
AEN	ENST00000332810
AEBP1	ENST00000223357
ADSSL1	ENST00000330877
ADRA2B	ENST00000409345
ADRB2	ENST00000305988
AEBP2	ENST00000398864
ADRB1	ENST00000369295
ADTRP	ENST00000414691
ADSS	ENST00000366535
AFF2	ENST00000370460
AFF3	ENST00000409236
AFAP1L1	ENST00000296721
AFF1	ENST00000307808
AFF4	ENST00000265343
AFDN	ENST00000447894
AFAP1L2	ENST00000304129
AFG3L2	ENST00000269143
AFG1L	ENST00000368977
AFM	ENST00000226355
AFMID	ENST00000409257
AFTPH	ENST00000238855
AGA	ENST00000264595
AGFG1	ENST00000310078
AGGF1	ENST00000312916
AGER	ENST00000375076
AGFG2	ENST00000300176
AGAP6	ENST00000374056
AGAP1	ENST00000304032
AGBL4	ENST00000371839
AGBL5	ENST00000360131
AGBL3	ENST00000436302
AGBL1	ENST00000441037
AGAP4	ENST00000448048
AGAP9	ENST00000413193
AFP	ENST00000395792
AGAP5	ENST00000374094
AGAP3	ENST00000397238
AGBL2	ENST00000525123
AGAP2	ENST00000547588
AGL	ENST00000294724
AGK	ENST00000355413
AGMO	ENST00000342526
AGRP	ENST00000290953
AGMAT	ENST00000375826
AGO2	ENST00000220592
AGO3	ENST00000373191
AGPAT3	ENST00000291572
AGO4	ENST00000373210
AGT	ENST00000366667
AHCYL1	ENST00000369799
AGPS	ENST00000264167
AHCY	ENST00000217426
AGTR1	ENST00000349243
AHCYL2	ENST00000325006
AGPAT4	ENST00000320285
AGO1	ENST00000373204
AGPAT5	ENST00000285518
AHDC1	ENST00000247087
AGXT2	ENST00000231420
AGXT	ENST00000307503
AGPAT1	ENST00000336984
AGRN	ENST00000379370
AGPAT2	ENST00000371696
AGTRAP	ENST00000314340
AGR2	ENST00000419304
AGR3	ENST00000310398
AGTR2	ENST00000371906
AGTPBP1	ENST00000357081
AHCTF1	ENST00000326225
AHSG	ENST00000411641
AHI1	ENST00000265602
AIM2	ENST00000368130
AIF1L	ENST00000247291
AIFM1	ENST00000287295
AIG1	ENST00000275235
AIMP1	ENST00000358008
AHR	ENST00000242057
AHSA1	ENST00000216479
AHSP	ENST00000302312
AICDA	ENST00000229335
AIDA	ENST00000340020
AIMP2	ENST00000223029
AIFM2	ENST00000307864
AHNAK2	ENST00000333244
AIFM3	ENST00000399167
AIRE	ENST00000291582
AIF1	ENST00000376059
AIPL1	ENST00000381129
AHRR	ENST00000505113
AHNAK	ENST00000378024
AIP	ENST00000279146
AK2	ENST00000354858
AJUBA	ENST00000262713
AK5	ENST00000354567
AK4	ENST00000327299
AK3	ENST00000381809
AJM1	ENST00000436881
AK1	ENST00000373156
AJAP1	ENST00000378190
AKAP6	ENST00000280979
AK8	ENST00000298545
AKAP10	ENST00000225737
AK7	ENST00000267584
AKAP8	ENST00000269701
AKAP11	ENST00000025301
AKAP3	ENST00000228850
AKAP12	ENST00000253332
AKNA	ENST00000307564
AKAP17A	ENST00000313871
AKAP5	ENST00000320636
AKAP2	ENST00000259318
AKIP1	ENST00000309377
AKAP4	ENST00000358526
AKR1B1	ENST00000285930
AKR1B10	ENST00000359579
AKAP1	ENST00000337714
AKIRIN2	ENST00000257787
AKNAD1	ENST00000370001
AKAP13	ENST00000394518
AK6	ENST00000380822
AKAP14	ENST00000371431
AKAP9	ENST00000356239
AKR1A1	ENST00000351829
AKIRIN1	ENST00000432648
AKAIN1	ENST00000434239
AK9	ENST00000424296
AKAP8L	ENST00000397410
AKAP7	ENST00000431975
AKT3	ENST00000263826
AKR1D1	ENST00000242375
AKR1C4	ENST00000263126
AKT1	ENST00000349310
AKR7A2	ENST00000235835
AKT2	ENST00000392038
AKR1E2	ENST00000298375
AKTIP	ENST00000394657
AKR7A3	ENST00000361640
AKR1C2	ENST00000380753
AKR1C3	ENST00000380554
ALDH1A2	ENST00000249750
AKT1S1	ENST00000344175
ALDH18A1	ENST00000371224
ALAS1	ENST00000310271
ALAD	ENST00000409155
ALDH1A1	ENST00000297785
ALB	ENST00000295897
ALDH16A1	ENST00000293350
AKR7L	ENST00000420396
ALCAM	ENST00000306107
AKR1C1	ENST00000380872
ALAS2	ENST00000330807
ALDH3A1	ENST00000225740
ALDH2	ENST00000261733
ALDH1B1	ENST00000377698
ALDH1A3	ENST00000329841
ALDH1L2	ENST00000258494
ALDH1L1	ENST00000393434
AKR1B15	ENST00000457545
ALG8	ENST00000299626
ALG1	ENST00000262374
ALDH3B1	ENST00000342456
ALG11	ENST00000521508
ALDH3A2	ENST00000176643
ALG6	ENST00000371108
ALG10	ENST00000266483
ALG12	ENST00000330817
ALDH3B2	ENST00000349015
ALG5	ENST00000239891
ALDH7A1	ENST00000409134
ALKBH1	ENST00000216489
ALDOC	ENST00000226253
ALG1L	ENST00000340333
ALDOA	ENST00000338110
ALKAL1	ENST00000358543
ALDOB	ENST00000374855
ALG13	ENST00000394780
ALG10B	ENST00000308742
ALDH4A1	ENST00000290597
ALDH9A1	ENST00000354775
ALK	ENST00000389048
ALDH5A1	ENST00000357578
ALG14	ENST00000370205
ALG3	ENST00000397676
ALDH8A1	ENST00000265605
ALKAL2	ENST00000403610
ALG2	ENST00000476832
ALDH6A1	ENST00000553458
ALG9	ENST00000531154
ALLC	ENST00000252505
ALOX12B	ENST00000319144
ALPI	ENST00000295463
ALPG	ENST00000295453
ALKBH2	ENST00000343075
ALPK1	ENST00000177648
ALKBH7	ENST00000245812
ALOX15	ENST00000293761
ALKBH4	ENST00000292566
ALKBH5	ENST00000399138
ALOXE3	ENST00000448843
ALKBH6	ENST00000252984
ALOX12	ENST00000251535
ALS2	ENST00000264276
ALPL	ENST00000374832
ALKBH3	ENST00000302708
ALPK3	ENST00000258888
ALMS1	ENST00000264448
ALOX15B	ENST00000380183
ALPK2	ENST00000361673
ALS2CR12	ENST00000286190
ALPP	ENST00000392027
ALX4	ENST00000329255
ALS2CL	ENST00000318962
ALYREF	ENST00000331204
ALX3	ENST00000369792
ALX1	ENST00000316824
ALOX5AP	ENST00000380490
ALOX5	ENST00000374391
ALKBH8	ENST00000389568
AMBP	ENST00000265132
AMER3	ENST00000321420
AMMECR1L	ENST00000272647
AMMECR1	ENST00000262844
AMIGO2	ENST00000266581
AMACR	ENST00000335606
AMDHD2	ENST00000293971
AMN	ENST00000299155
AMFR	ENST00000290649
AMBN	ENST00000322937
AMD1	ENST00000368885
AMH	ENST00000221496
AMDHD1	ENST00000266736
AMOTL2	ENST00000422605
AMER1	ENST00000330258
AMHR2	ENST00000257863
AMPD2	ENST00000256578
AMOTL1	ENST00000433060
AMN1	ENST00000281471
AMIGO3	ENST00000320431
AMIGO1	ENST00000369862
AMPD3	ENST00000396553
AMT	ENST00000273588
AMOT	ENST00000371959
AMELX	ENST00000380714
AMELY	ENST00000383036
AMER2	ENST00000515384
AMPH	ENST00000356264
AMBRA1	ENST00000458649
AMPD1	ENST00000520113
AMTN	ENST00000339336
AMY1B	ENST00000330330
ANAPC13	ENST00000354910
ANAPC1	ENST00000341068
AMY1A	ENST00000330330
AMY2B	ENST00000361355
AMZ1	ENST00000312371
AMZ2	ENST00000359904
ANAPC10	ENST00000309439
AMY1C	ENST00000370079
AMY2A	ENST00000414303
ANAPC5	ENST00000261819
ANAPC15	ENST00000227618
ANGEL1	ENST00000251089
ANAPC16	ENST00000299381
ANGEL2	ENST00000366962
ANGPTL1	ENST00000234816
ANGPTL2	ENST00000373425
ANAPC11	ENST00000344877
ANGPTL4	ENST00000301455
ANGPT2	ENST00000325203
ANAPC4	ENST00000315368
ANAPC2	ENST00000323927
ANGPTL5	ENST00000334289
ANGPTL6	ENST00000253109
ANG	ENST00000336811
ANGPTL3	ENST00000371129
ANGPT4	ENST00000381922
ANGPT1	ENST00000517746
ANAPC7	ENST00000455511
ANKIB1	ENST00000265742
ANGPTL8	ENST00000252453
ANGPTL7	ENST00000376819
ANKK1	ENST00000303941
ANKFN1	ENST00000318698
ANK2	ENST00000357077
ANKDD1A	ENST00000319580
ANK1	ENST00000347528
ANK3	ENST00000280772
ANKRD13A	ENST00000261739
ANKMY2	ENST00000306999
ANKRD10	ENST00000267339
ANHX	ENST00000419717
ANKAR	ENST00000313581
ANKRD1	ENST00000371697
ANKHD1	ENST00000360839
ANKH	ENST00000284268
ANKLE2	ENST00000357997
ANKEF1	ENST00000378380
ANKRD13D	ENST00000308440
ANKMY1	ENST00000272972
ANKRD12	ENST00000262126
ANKRD11	ENST00000301030
ANKRA2	ENST00000296785
ANKRD13C	ENST00000370944
ANKFY1	ENST00000341657
ANKRD16	ENST00000380092
ANKRD13B	ENST00000394859
ANKHD1-EIF4EBP3	ENST00000532219
ANKDD1B	ENST00000601380
ANKRD20A2	ENST00000377601
ANKRD18A	ENST00000399703
ANKRD2	ENST00000307518
ANKRD22	ENST00000371930
ANKRD17	ENST00000358602
ANKRD20A3	ENST00000254835
ANKRD20A1	ENST00000562196
ANKRD23	ENST00000318357
ANKRD20A4	ENST00000357336
ANKRD37	ENST00000335174
ANKRD24	ENST00000318934
ANKRD33B	ENST00000296657
ANKRD27	ENST00000306065
ANKRD33	ENST00000340970
ANKRD40	ENST00000285243
ANKRD26	ENST00000376087
ANKRD40CL	ENST00000300458
ANKRD39	ENST00000393537
ANKRD28	ENST00000399451
ANKRD31	ENST00000274361
ANKRD34B	ENST00000338682
ANKRD30A	ENST00000361713
ANKRD35	ENST00000355594
ANKRD36B	ENST00000258459
ANKRD30B	ENST00000358984
ANKRD34C	ENST00000421388
ANKRD42	ENST00000393392
ANKRD30BL	ENST00000409867
ANKRD29	ENST00000592179
ANKRD34A	ENST00000606888
ANKRD44	ENST00000282272
ANKRD45	ENST00000333279
ANKRD52	ENST00000267116
ANKRD50	ENST00000504087
ANKRD49	ENST00000302755
ANKRD46	ENST00000520552
ANKRD53	ENST00000360589
ANKRD54	ENST00000215941
ANKRD55	ENST00000341048
ANKRD6	ENST00000339746
ANKS4B	ENST00000311620
ANLN	ENST00000265748
ANO3	ENST00000256737
ANKS3	ENST00000304283
ANKS6	ENST00000353234
ANKRD9	ENST00000286918
ANKRD61	ENST00000409061
ANKRD7	ENST00000265224
ANKZF1	ENST00000323348
ANKRD60	ENST00000457363
ANO1	ENST00000355303
ANKS1A	ENST00000360359
ANO10	ENST00000292246
ANO2	ENST00000356134
ANKRD65	ENST00000454272
ANKRD62	ENST00000587848
ANKUB1	ENST00000446160
ANKRD63	ENST00000434396
ANKS1B	ENST00000547776
ANKRD66	ENST00000565422
ANO5	ENST00000324559
ANO8	ENST00000159087
ANOS1	ENST00000262648
ANO7	ENST00000274979
ANO4	ENST00000392977
ANO6	ENST00000320560
ANO9	ENST00000332826
ANP32D	ENST00000266594
ANPEP	ENST00000300060
ANXA6	ENST00000354546
ANXA10	ENST00000359299
AOAH	ENST00000258749
ANXA5	ENST00000296511
ANTXR1	ENST00000303714
ANXA3	ENST00000264908
ANXA1	ENST00000257497
ANTXR2	ENST00000307333
ANXA2R	ENST00000314890
ANP32B	ENST00000339399
ANXA4	ENST00000394295
ANXA2	ENST00000396024
ANXA11	ENST00000372231
ANXA9	ENST00000368947
ANXA7	ENST00000372919
ANXA13	ENST00000419625
ANP32A	ENST00000465139
ANTXRL	ENST00000447511
ANXA8L1	ENST00000584982
ANP32E	ENST00000583931
ANXA8	ENST00000585281
AOC2	ENST00000253799
AOC3	ENST00000308423
AP1B1	ENST00000405198
AP1AR	ENST00000274000
AOX1	ENST00000374700
AP1G1	ENST00000299980
AOC1	ENST00000360937
AP1G2	ENST00000308724
AP1S1	ENST00000337619
AP1M1	ENST00000291439
AP1M2	ENST00000250244
AP1S2	ENST00000329235
AP2B1	ENST00000312678
AP2A1	ENST00000359032
AP3B2	ENST00000261722
AP4E1	ENST00000261842
AP2M1	ENST00000292807
AP3M2	ENST00000174653
AP3D1	ENST00000345016
AP3B1	ENST00000255194
AP4B1	ENST00000256658
AP3S1	ENST00000316788
AP1S3	ENST00000446015
AP2S1	ENST00000263270
AP3M1	ENST00000355264
AP3S2	ENST00000336418
AP4M1	ENST00000359593
AP2A2	ENST00000448903
AP4S1	ENST00000542754
AP5B1	ENST00000532090
AP5S1	ENST00000246041
AP5M1	ENST00000261558
APBA3	ENST00000316757
AP5Z1	ENST00000348624
APBA1	ENST00000265381
APBA2	ENST00000558259
APAF1	ENST00000551964
APBB1IP	ENST00000376236
APBB1	ENST00000609360
APBB2	ENST00000295974
APH1B	ENST00000261879
APBB3	ENST00000357560
APCDD1	ENST00000355285
APCS	ENST00000255040
APLP2	ENST00000263574
APC2	ENST00000233607
APC	ENST00000257430
APLP1	ENST00000221891
APLF	ENST00000303795
APH1A	ENST00000369109
APEX1	ENST00000216714
APLNR	ENST00000257254
APMAP	ENST00000217456
API5	ENST00000531273
APEH	ENST00000296456
APEX2	ENST00000374987
APCDD1L	ENST00000371149
APELA	ENST00000507152
APIP	ENST00000395787
APLN	ENST00000429967
APOA1	ENST00000236850
APOC3	ENST00000227667
APOBEC2	ENST00000244669
APOA5	ENST00000227665
APOA4	ENST00000357780
APOBEC3F	ENST00000308521
APOB	ENST00000233242
APOL5	ENST00000249044
APOBEC1	ENST00000229304
APOA2	ENST00000367990
APOBEC4	ENST00000308641
APOF	ENST00000398189
APOL2	ENST00000249066
APOE	ENST00000252486
APOBEC3C	ENST00000361441
APOH	ENST00000205948
APOBEC3A	ENST00000249116
APOBEC3D	ENST00000216099
APOBEC3B	ENST00000333467
APOL4	ENST00000352371
APOD	ENST00000343267
APOL3	ENST00000349314
APOL6	ENST00000409652
APOL1	ENST00000397278
APOBR	ENST00000431282
APOBEC3G	ENST00000407997
APOBEC3H	ENST00000401756
APOC1	ENST00000588750
APOC4	ENST00000592954
APOC2	ENST00000590360
AQP3	ENST00000297991
APOO	ENST00000379226
APTX	ENST00000379819
APOLD1	ENST00000326765
AQP11	ENST00000313578
AQP7	ENST00000297988
APP	ENST00000346798
APOM	ENST00000375916
APOPT1	ENST00000409074
APPBP2	ENST00000083182
APPL2	ENST00000258530
APRT	ENST00000378364
AQP6	ENST00000315520
APOOL	ENST00000373173
APPL1	ENST00000288266
AQP2	ENST00000199280
AQP12B	ENST00000407834
AQR	ENST00000156471
AQP8	ENST00000219660
AQP1	ENST00000311813
ARAP2	ENST00000303965
AQP10	ENST00000324978
ARAP3	ENST00000239440
AQP9	ENST00000219919
ARC	ENST00000356613
ARAF	ENST00000377045
AQP4	ENST00000383168
AQP5	ENST00000293599
AR	ENST00000374690
ARAP1	ENST00000393609
ARHGAP1	ENST00000311956
ARF4	ENST00000303436
ARF1	ENST00000272102
AREG	ENST00000395748
ARHGAP10	ENST00000336498
AREL1	ENST00000356357
ARFGEF3	ENST00000251691
ARFGEF1	ENST00000262215
ARFGEF2	ENST00000371917
ARFRP1	ENST00000359715
ARFIP2	ENST00000254584
ARF5	ENST00000000233
ARG2	ENST00000261783
ARFGAP3	ENST00000263245
ARFGAP1	ENST00000370283
ARHGAP11A	ENST00000361627
ARGLU1	ENST00000400198
ARHGAP17	ENST00000289968
ARF6	ENST00000298316
ARCN1	ENST00000264028
ARHGAP15	ENST00000295095
ARF3	ENST00000256682
ARGFX	ENST00000334384
ARG1	ENST00000368087
ARFIP1	ENST00000353617
ARHGAP12	ENST00000344936
ARHGAP18	ENST00000368149
ARHGAP19	ENST00000358531
ARHGAP11B	ENST00000428041
ARFGAP2	ENST00000524782
ARHGAP26	ENST00000274498
ARHGAP22	ENST00000249601
ARHGAP31	ENST00000264245
ARHGDIA	ENST00000269321
ARHGAP20	ENST00000260283
ARHGDIG	ENST00000219409
ARHGDIB	ENST00000228945
ARHGAP4	ENST00000350060
ARHGAP25	ENST00000409202
ARHGAP44	ENST00000379672
ARHGAP9	ENST00000393791
ARHGAP36	ENST00000276211
ARHGAP35	ENST00000404338
ARHGAP5	ENST00000345122
ARHGAP29	ENST00000260526
ARHGAP39	ENST00000276826
ARHGAP6	ENST00000337414
ARHGAP33	ENST00000314737
ARHGAP32	ENST00000310343
ARHGEF10L	ENST00000361221
ARHGAP30	ENST00000368013
ARHGAP45	ENST00000313093
ARHGEF10	ENST00000398564
ARHGAP28	ENST00000383472
ARHGEF1	ENST00000354532
ARHGAP21	ENST00000396432
ARHGAP8	ENST00000389774
ARHGAP24	ENST00000395184
ARHGAP27	ENST00000428638
ARHGAP23	ENST00000562697
ARHGEF15	ENST00000361926
ARHGEF25	ENST00000286494
ARHGEF26	ENST00000356448
ARHGEF11	ENST00000361409
ARHGEF19	ENST00000270747
ARHGEF16	ENST00000378378
ARHGEF3	ENST00000296315
ARID3C	ENST00000378909
ARHGEF12	ENST00000397843
ARHGEF38	ENST00000420470
ARHGEF39	ENST00000378387
ARHGEF17	ENST00000263674
ARHGEF2	ENST00000361247
ARHGEF35	ENST00000378115
ARHGEF18	ENST00000359920
ARHGEF33	ENST00000409978
ARHGEF4	ENST00000326016
ARHGEF37	ENST00000333677
ARHGEF28	ENST00000426542
ARHGEF5	ENST00000056217
ARHGEF6	ENST00000250617
ARID3A	ENST00000263620
ARHGEF40	ENST00000298694
