ABI1,ENSG00000136754
ETV4,ENSG00000175832
ETV5,ENSG00000244405
ETV6,ENSG00000139083
EWSR1,ENSG00000182944
EXT1,ENSG00000182197
EXT2,ENSG00000151348
EZH2,ENSG00000106462
EZR,ENSG00000092820
FAM46C,ENSG00000183508
FANCA,ENSG00000187741
FANCC,ENSG00000158169
FANCD2,ENSG00000144554
FANCE,ENSG00000112039
FANCF,ENSG00000183161
FANCG,ENSG00000221829
FAS,ENSG00000026103
FAT1,ENSG00000083857
FAT4,ENSG00000196159
FBXO11,ENSG00000138081
FBXW7,ENSG00000109670
FCGR2B,ENSG00000072694
FCRL4,ENSG00000163518
FES,ENSG00000182511
FEV,ENSG00000163497
FGFR1,ENSG00000077782
FGFR1OP,ENSG00000213066
FGFR2,ENSG00000066468
FGFR3,ENSG00000068078
FGFR4,ENSG00000160867
FH,ENSG00000091483
FHIT,ENSG00000189283
FIP1L1,ENSG00000145216
FLCN,ENSG00000154803
FLI1,ENSG00000151702
FLT3,ENSG00000122025
FLT4,ENSG00000037280
FOXA1,ENSG00000129514
FOXL2,ENSG00000183770
FOXO1,ENSG00000150907
FOXO3,ENSG00000118689
FOXO4,ENSG00000184481
FOXP1,ENSG00000114861
FSTL3,ENSG00000070404
FUBP1,ENSG00000162613
FUS,ENSG00000089280
GAS7,ENSG00000007237
GATA1,ENSG00000102145
GATA2,ENSG00000179348
GATA3,ENSG00000107485
GNA11,ENSG00000088256
GNAQ,ENSG00000156052
GNAS,ENSG00000087460
GOLGA5,ENSG00000066455
GOPC,ENSG00000047932
GPC3,ENSG00000147257
GPHN,ENSG00000171723
GRIN2A,ENSG00000183454
H3F3A,ENSG00000163041
H3F3B,ENSG00000132475
HERPUD1,ENSG00000051108
HEY1,ENSG00000164683
HIF1A,ENSG00000100644
HIP1,ENSG00000127946
HIST1H3B,ENSG00000124693
HIST1H4I,ENSG00000124693
HLA-A,ENSG00000206503
HLF,ENSG00000108924
HMGA1,ENSG00000137309
HMGA2,ENSG00000149948
HNF1A,ENSG00000135100
HNRNPA2B1,ENSG00000122566
HOOK3,ENSG00000168172
HOXA11,ENSG00000005073
HOXA13,ENSG00000106031
HOXA9,ENSG00000078399
HOXC11,ENSG00000123388
HOXC13,ENSG00000123364
HOXD11,ENSG00000128713
HOXD13,ENSG00000128713
HRAS,ENSG00000174775
HSP90AA1,ENSG00000080824
HSP90AB1,ENSG00000096384
IDH1,ENSG00000138413
IDH2,ENSG00000182054
IGH,ENSG00000182054
IGK,ENSG00000182054
IGL,ENSG00000182054
IKBKB,ENSG00000104365
IKZF1,ENSG00000185811
IL2,ENSG00000109471
IL21R,ENSG00000103522
IL6ST,ENSG00000134352
IL7R,ENSG00000168685
IRF4,ENSG00000137265
IRS4,ENSG00000133124
ITK,ENSG00000113263
JAK1,ENSG00000162434
JAK2,ENSG00000096968
JAK3,ENSG00000105639
JUN,ENSG00000177606
KAT6A,ENSG00000177606
KAT6B,ENSG00000156650
KCNJ5,ENSG00000120457
KDM5A,ENSG00000073614
KDM5C,ENSG00000126012
KDM6A,ENSG00000147050
KDR,ENSG00000128052
KDSR,ENSG00000119537
KEAP1,ENSG00000079999
KIF5B,ENSG00000170759
KIT,ENSG00000157404
KLF4,ENSG00000136826
KLF6,ENSG00000067082
KLK2,ENSG00000167751
KMT2A,ENSG00000118058
KMT2C,ENSG00000055609
KMT2D,ENSG00000167548
KRAS,ENSG00000133703
KTN1,ENSG00000126777
LASP1,ENSG00000002834
LATS1,ENSG00000002834
LATS2,ENSG00000150457
LCK,ENSG00000182866
LEF1,ENSG00000138795
LIFR,ENSG00000113594
LMNA,ENSG00000160789
LMO1,ENSG00000166407
LMO2,ENSG00000135363
LPP,ENSG00000145012
LRIG3,ENSG00000139263
LRP1B,ENSG00000168702
LYL1,ENSG00000104903
LZTR1,ENSG00000099949
MAF,ENSG00000178573
MAFB,ENSG00000204103
MALT1,ENSG00000172175
MAML2,ENSG00000184384
MAP2K1,ENSG00000169032
MAP2K2,ENSG00000126934
MAP2K4,ENSG00000065559
MAP3K1,ENSG00000065559
MAP3K13,ENSG00000073803
MAPK1,ENSG00000100030
MAX,ENSG00000006606
MDM2,ENSG00000135679
MDM4,ENSG00000198625
MECOM,ENSG00000085276
MED12,ENSG00000184634
MEN1,ENSG00000133895
MET,ENSG00000105976
MITF,ENSG00000187098
MKL1,ENSG00000196588
MLF1,ENSG00000178053
MLH1,ENSG00000076242
MLLT1,ENSG00000130382
MLLT10,ENSG00000078403
MLLT11,ENSG00000213190
MLLT3,ENSG00000171843
MLLT4,ENSG00000171843
MLLT6,ENSG00000108292
MN1,ENSG00000169184
MPL,ENSG00000117400
MSH2,ENSG00000095002
MSH6,ENSG00000116062
MSI2,ENSG00000153944
MSN,ENSG00000147065
MTCP1,ENSG00000182712
MTOR,ENSG00000198793
MUC1,ENSG00000185499
MUTYH,ENSG00000132781
MYB,ENSG00000118513
MYC,ENSG00000136997
MYCL,ENSG00000116990
MYCN,ENSG00000134323
MYD88,ENSG00000172936
MYH11,ENSG00000133392
MYH9,ENSG00000100345
MYO5A,ENSG00000197535
MYOD1,ENSG00000129152
NAB2,ENSG00000166886
NBN,ENSG00000104320
NCOA1,ENSG00000084676
NCOA2,ENSG00000140396
NCOA4,ENSG00000140396
NCOR1,ENSG00000141027
NCOR2,ENSG00000196498
NDRG1,ENSG00000104419
NF1,ENSG00000196712
NF2,ENSG00000186575
NFATC2,ENSG00000101096
NFE2L2,ENSG00000116044
NFIB,ENSG00000147862
NFKB2,ENSG00000147862
NFKBIE,ENSG00000146232
NIN,ENSG00000100503
NKX2-1,ENSG00000136352
NONO,ENSG00000147140
NOTCH1,ENSG00000148400
NOTCH2,ENSG00000134250
NPM1,ENSG00000181163
NR4A3,ENSG00000119508
NRAS,ENSG00000213281
NRG1,ENSG00000157168
NSD1,ENSG00000165671
NT5C2,ENSG00000076685
NTRK1,ENSG00000198400
NTRK3,ENSG00000140538
NUMA1,ENSG00000137497
NUP214,ENSG00000126883
NUP98,ENSG00000110713
NUTM1,ENSG00000184507
NUTM2A,ENSG00000214562
NUTM2B,ENSG00000188199
OLIG2,ENSG00000205927
P2RY8,ENSG00000182162
PAFAH1B2,ENSG00000168092
PALB2,ENSG00000083093
PAX3,ENSG00000135903
PAX5,ENSG00000196092
PAX7,ENSG00000009709
PAX8,ENSG00000125618
PBRM1,ENSG00000163939
PBX1,ENSG00000185630
PCM1,ENSG00000078674
PDCD1LG2,ENSG00000197646
PDE4DIP,ENSG00000178104
PDGFB,ENSG00000100311
PDGFRA,ENSG00000134853
PDGFRB,ENSG00000113721
PER1,ENSG00000179094
PHF6,ENSG00000156531
PHOX2B,ENSG00000109132
PICALM,ENSG00000073921
PIK3CA,ENSG00000121879
PIK3CB,ENSG00000051382
PIK3R1,ENSG00000145675
PIM1,ENSG00000137193
PLAG1,ENSG00000181690
PLCG1,ENSG00000124181
PML,ENSG00000140464
PMS2,ENSG00000122512
POLD1,ENSG00000062822
POLE,ENSG00000177084
POLQ,ENSG00000051341
POT1,ENSG00000128513
POU2AF1,ENSG00000110777
POU5F1,ENSG00000204531
PPARG,ENSG00000132170
PPFIBP1,ENSG00000110841
PPM1D,ENSG00000170836
PPP2R1A,ENSG00000105568
PPP6C,ENSG00000119414
PRCC,ENSG00000143294
PRDM1,ENSG00000057657
PRDM16,ENSG00000142611
PREX2,ENSG00000046889
PRF1,ENSG00000180644
PRKACA,ENSG00000072062
PRKAR1A,ENSG00000108946
PRRX1,ENSG00000116132
PSIP1,ENSG00000164985
PTCH1,ENSG00000185920
PTEN,ENSG00000171862
PTK6,ENSG00000101213
PTPN11,ENSG00000179295
PTPN13,ENSG00000163629
PTPRB,ENSG00000127329
PTPRC,ENSG00000081237
PTPRK,ENSG00000152894
PTPRT,ENSG00000196090
QKI,ENSG00000112531
RABEP1,ENSG00000029725
RAC1,ENSG00000136238
RAD21,ENSG00000164754
RAD51B,ENSG00000182185
RAF1,ENSG00000132155
RANBP2,ENSG00000153201
RAP1GDS1,ENSG00000138698
RARA,ENSG00000131759
RB1,ENSG00000139687
RBM10,ENSG00000182872
RBM15,ENSG00000162775
RECQL4,ENSG00000160957
REL,ENSG00000162924
RET,ENSG00000165731
RHOA,ENSG00000067560
RHOH,ENSG00000168421
RMI2,ENSG00000175643
RNF213,ENSG00000173821
RNF43,ENSG00000108375
ROS1,ENSG00000047936
RPL10,ENSG00000147403
RPL22,ENSG00000116251
RPL5,ENSG00000122406
RPN1,ENSG00000163902
RSPO2,ENSG00000147655
RSPO3,ENSG00000146374
RUNX1,ENSG00000159216
RUNX1T1,ENSG00000079102
SALL4,ENSG00000101115
SBDS,ENSG00000126524
SDC4,ENSG00000124145
SDHA,ENSG00000073578
SDHAF2,ENSG00000167985
SDHB,ENSG00000117118
SDHC,ENSG00000075790
SDHD,ENSG00000204370
SET,ENSG00000119335
SETBP1,ENSG00000152217
SETD2,ENSG00000181555
SF3B1,ENSG00000115524
SFPQ,ENSG00000116560
SFRP4,ENSG00000106483
SH2B3,ENSG00000111252
SH3GL1,ENSG00000141985
SIX1,ENSG00000126778
SLC34A2,ENSG00000157765
SLC45A3,ENSG00000158715
SMAD2,ENSG00000175387
SMAD3,ENSG00000166949
SMAD4,ENSG00000141646
SMARCA4,ENSG00000127616
SMARCB1,ENSG00000099956
SMARCD1,ENSG00000066117
SMARCE1,ENSG00000073584
SMO,ENSG00000128602
SND1,ENSG00000197157
SOCS1,ENSG00000185338
SOX2,ENSG00000181449
SPEN,ENSG00000065526
SPOP,ENSG00000121067
SRC,ENSG00000197122
SRSF2,ENSG00000161547
SRSF3,ENSG00000112081
SS18,ENSG00000141380
SS18L1,ENSG00000184402
SSX1,ENSG00000126752
SSX2,ENSG00000241476
SSX4,ENSG00000204645
STAG2,ENSG00000101972
STAT3,ENSG00000168610
STAT5B,ENSG00000173757
STAT6,ENSG00000166888
STIL,ENSG00000123473
STK11,ENSG00000118046
STRN,ENSG00000115808
SUFU,ENSG00000107882
SUZ12,ENSG00000178691
SYK,ENSG00000165025
TAF15,ENSG00000172660
TAL1,ENSG00000162367
TAL2,ENSG00000162367
TBL1XR1,ENSG00000177565
TBX3,ENSG00000135111
TCEA1,ENSG00000187735
TCF12,ENSG00000140262
TCF3,ENSG00000071564
TCF7L2,ENSG00000148737
TCL1A,ENSG00000100721
TERT,ENSG00000164362
TET1,ENSG00000138336
TET2,ENSG00000168769
TFE3,ENSG00000068323
TFEB,ENSG00000112561
TFG,ENSG00000114354
TGFBR2,ENSG00000163513
TLX1,ENSG00000107807
TLX3,ENSG00000164438
TMEM127,ENSG00000135956
TMPRSS2,ENSG00000184012
TNFAIP3,ENSG00000118503
TNFRSF14,ENSG00000157873
TNFRSF17,ENSG00000048462
TOP1,ENSG00000198900
TP53,ENSG00000141510
TP63,ENSG00000073282
TPM3,ENSG00000143549
TPM4,ENSG00000167460
TPR,ENSG00000047410
TRA,ENSG00000047410
TRAF7,ENSG00000131653
TRB,ENSG00000131653
TRD,ENSG00000131653
TRIM24,ENSG00000122779
TRIM27,ENSG00000204713
TRIM33,ENSG00000197323
TRIP11,ENSG00000100815
TRRAP,ENSG00000196367
TSC1,ENSG00000165699
TSC2,ENSG00000103197
TSHR,ENSG00000165409
U2AF1,ENSG00000160201
UBR5,ENSG00000104517
USP6,ENSG00000129204
USP8,ENSG00000138592
VHL,ENSG00000134086
WAS,ENSG00000015285
WHSC1,ENSG00000109685
WHSC1L1,ENSG00000147548
WIF1,ENSG00000156076
WRN,ENSG00000165392
WT1,ENSG00000184937
WWTR1,ENSG00000018408
XPA,ENSG00000136936
XPC,ENSG00000154767
XPO1,ENSG00000082898
YWHAE,ENSG00000108953
ZBTB16,ENSG00000109906
ZFHX3,ENSG00000140836
ZNF198,ENSG00000121741
ZNF278,ENSG00000100105
ZNF331,ENSG00000130844
ZNF384,ENSG00000126746
ZNF521,ENSG00000198795
ZRSR2,ENSG00000169249
